Zone#,PD,Population,Work General,Work Manufacturing,Work Professional,Work Retail,Work Unknown,Employment,Employment General,Employment Manufacturing,Employment Professional,Employment Retail,Employment Unknown,X,Y,Internal Distance,Retail Level,Other Level,Work Level,Internal Density,Parking Cost,Artirial Percentage
2453,31,1291.87,0,0,0,0,0,0,0,0,0,0,0,642383,4859870,252.0630984,0,0,0,0,0,0
2454,31,10182.86,0,0,0,0,0,0,0,0,0,0,0,642010,4861044,271.6012191,0,0,0,0,0,0
2455,31,5787.83,0,0,0,0,0,0,0,0,0,0,0,643305,4860746,270.1792101,0,0,0,0,0,0
2456,31,0,0,0,0,0,0,0,0,0,0,0,0,645273,4861266,287.3414055,0,0,0,0,0,0
2457,31,3290.14,0,0,0,0,0,0,0,0,0,0,0,641492,4862220,233.7194424,0,0,0,0,0,0
2458,31,3.46,0,0,0,0,0,0,0,0,0,0,0,643026,4863815,388.0062285,0,0,0,0,0,0
2459,31,285.21,0,0,0,0,0,0,0,0,0,0,0,641007,4864511,441.0154003,0,0,0,0,0,0
2460,31,59.16,0,0,0,0,0,0,0,0,0,0,0,642069,4867968,461.0612456,0,0,0,0,0,0
2551,28,1125.97,0,0,0,0,0,0,0,0,0,0,0,623021,4868882,266.1648925,0,0,0,0,0,0
2552,28,3451.18,0,0,0,0,0,0,0,0,0,0,0,621977,4869945,237.8593772,0,0,0,0,0,0
2553,28,5958.98,0,0,0,0,0,0,0,0,0,0,0,621729,4871330,276.0972554,0,0,0,0,0,0
2554,28,6465.27,0,0,0,0,0,0,0,0,0,0,0,622643,4871994,228.3282846,0,0,0,0,0,0
2555,28,5177.35,0,0,0,0,0,0,0,0,0,0,0,621603,4873110,220.216497,0,0,0,0,0,0
2556,28,2026.76,0,0,0,0,0,0,0,0,0,0,0,621187,4874062,250.5308253,0,0,0,0,0,0
2557,28,1147.75,0,0,0,0,0,0,0,0,0,0,0,622575,4873560,200.8910014,0,0,0,0,0,0
2558,28,3780.87,0,0,0,0,0,0,0,0,0,0,0,622867,4873912,200.7511588,0,0,0,0,0,0
2559,28,39.57,0,0,0,0,0,0,0,0,0,0,0,623604,4873844,170.2901119,0,0,0,0,0,0
2560,28,6672.59,0,0,0,0,0,0,0,0,0,0,0,624128,4874603,261.3101605,0,0,0,0,0,0
2561,28,1194.45,0,0,0,0,0,0,0,0,0,0,0,623181,4872221,185.056673,0,0,0,0,0,0
2562,28,53,0,0,0,0,0,0,0,0,0,0,0,623991,4872222,216.1684657,0,0,0,0,0,0
2563,28,2210.44,0,0,0,0,0,0,0,0,0,0,0,624605,4872729,179.5628179,0,0,0,0,0,0
2564,28,1290.6,0,0,0,0,0,0,0,0,0,0,0,624267,4870946,259.5352149,0,0,0,0,0,0
2565,28,359.52,0,0,0,0,0,0,0,0,0,0,0,624122,4869262,214.8369537,0,0,0,0,0,0
2566,28,1736.95,0,0,0,0,0,0,0,0,0,0,0,625780,4869799,347.2179111,0,0,0,0,0,0
2567,28,8.72,0,0,0,0,0,0,0,0,0,0,0,627025,4872462,200.8869223,0,0,0,0,0,0
2568,28,938.46,0,0,0,0,0,0,0,0,0,0,0,625545,4873617,282.7425704,0,0,0,0,0,0
2569,28,8349.19,0,0,0,0,0,0,0,0,0,0,0,624894,4874662,285.3846819,0,0,0,0,0,0
2570,28,2682.72,0,0,0,0,0,0,0,0,0,0,0,625338,4875895,249.4251168,0,0,0,0,0,0
2571,28,0,0,0,0,0,0,0,0,0,0,0,0,627058,4874621,265.5269917,0,0,0,0,0,0
2572,28,0,0,0,0,0,0,0,0,0,0,0,0,626838,4874231,155.6725552,0,0,0,0,0,0
2573,28,86.66,0,0,0,0,0,0,0,0,0,0,0,627288,4872484,212.3927834,0,0,0,0,0,0
2574,28,26.48,0,0,0,0,0,0,0,0,0,0,0,627691,4871357,298.638438,0,0,0,0,0,0
2601,27,1251.94,0,0,0,0,0,0,0,0,0,0,0,621116,4876408,276.5284795,0,0,0,0,0,0
2602,27,3026.35,0,0,0,0,0,0,0,0,0,0,0,621874,4876593,158.5937332,0,0,0,0,0,0
2603,27,5943.71,0,0,0,0,0,0,0,0,0,0,0,620870,4877134,193.6767783,0,0,0,0,0,0
2604,27,1500.36,0,0,0,0,0,0,0,0,0,0,0,621827,4877398,129.3349441,0,0,0,0,0,0
2605,27,4319.48,0,0,0,0,0,0,0,0,0,0,0,620613,4878017,239.6197798,0,0,0,0,0,0
2606,27,378.79,0,0,0,0,0,0,0,0,0,0,0,621674,4878614,112.8019405,0,0,0,0,0,0
2607,27,5956.32,0,0,0,0,0,0,0,0,0,0,0,620662,4879240,190.5608681,0,0,0,0,0,0
2608,27,4613.16,0,0,0,0,0,0,0,0,0,0,0,620998,4880140,206.6881037,0,0,0,0,0,0
2609,27,0,0,0,0,0,0,0,0,0,0,0,0,621573,4879566,133.6250974,0,0,0,0,0,0
2610,27,4918.69,0,0,0,0,0,0,0,0,0,0,0,622321,4880533,223.4103101,0,0,0,0,0,0
2611,27,3498.38,0,0,0,0,0,0,0,0,0,0,0,622283,4879598,198.2623823,0,0,0,0,0,0
2612,27,575.1,0,0,0,0,0,0,0,0,0,0,0,621931,4878902,123.4986505,0,0,0,0,0,0
2613,27,3912.23,0,0,0,0,0,0,0,0,0,0,0,623101,4879028,199.0849205,0,0,0,0,0,0
2614,27,2241.09,0,0,0,0,0,0,0,0,0,0,0,622214,4877602,129.3172241,0,0,0,0,0,0
